Nom du club; Numéro d'affiliation
ALBION LE PHARE; 137910
AMBANJA; 99829
AMBATONDRAZAKA LAC ALAOTRA; 47393
AMBILOBE; 182295
AMBODIFOTATRA SAINTE-MARIE; 124200
AMBOHIBAO-LAKA; 119127
AMBOHIDRATRIMO; 101454
AMBOHIMANGA; 116807
AMBOVOMBE ANDROY; 130750
ANDAPA; 138024
ANTALAHA; 64950
ANTANANARIVO AMITIE; 179225
ANTANANARIVO ANALAMANGA; 27013
ANTANANARIVO AVOTIA; 101670
ANTANANARIVO FARIMBONA; 124452
ANTANANARIVO IARIVO; 56408
ANTANANARIVO ILOHASINA; 100586
ANTANANARIVO MANJAKAMIADANA; 59736
ANTANANARIVO MIRANANDRO; 136979
ANTANANARIVO SALANITRA; 89236
ANTANANARIVO SANTATRA NEW CENTURY; 67190
ANTANANARIVO TSARA TANANA; 104812
ANTANANARIVO VALIHA; 180000
ANTANANARIVO VOHITSARA; 43582
ANTSIRABE RANOVISY ANTANANARIV; 45759
ANTSOHIHY; 120571
BEAU BASSIN/ROSE HILL; 121538
BON ACCUEIL LALLMATIE; 154314
CASCAVELLE; 180177
CUREPIPE; 37503
DIEGO SUAREZ; 27008
DJIBOUTI; 27020
EBENE; 117650
ÉTANG SALÉ LES SABLES; 151440
FARAFANGANA; 107646
FENERIVE-EST; 122405
FIANARANTSOA; 27009
FLACQ; 120212
FLOREAL VACOAS; 157529
IHOSY VASIA; 102159
LA POSSESSION; 172056
LE TAMPON CONCESSION; 122682
LE TAMPON JACARANDAS; 115950
MAHEBOURG; 171210
MAJUNGA; 27010
MAYOTTE LAGON; 124004
MAYOTTE YLANG; 54789
MOKA; 78386
MORAMANGA MANGORO; 124179
MORONDAVA; 107711
NOSSI BE; 41647
PAMPLEMOUSSES; 84756
PL DES PALMISTES LE PALMIER; 127862
PORT LOUIS DOYEN; 26984
PORT RÉUNION; 156956
QUATRE BORNES; 43063
RÉUNION RENAISSANCE; 137460
REUNION SAINT-GILLES; 38773
REUNION SUD; 27015
RIVIERE NOIRE; 102615
RODRIGUES; 62658
SAINT BENOIT LES EAUX VIVES; 152570
SAINT DENIS COEUR -METISSE; 154367
SAINT DENIS FRANCE AUSTRALE DO; 27016
SAINT LEU; 151014
SAINT LOUIS FLEUR DE CANNE; 185883
SAINT PAUL TOUR DES ROCHES; 139699
SAINT-ANDRE LES VACOAS; 116410
SAINT-DENIS SAVANAH-ALAMANDA; 54834
SAINTE MARIE EST EDMOND ALBIUS; 100096
SAINTE-SUZANNE NIAGARA; 119175
SAMBAVA; 45640
SAVANNE; 121483
ST DENIS REUN PERLE AUSTRALE; 35129
TAMATAVE; 27011
TANANARIVE DOYEN; 27012
TOAMASINA DES PANGALANES; 154368
TOLAGNARO FORT DAUPHIN; 27007
TSIROANOMANDIDY; 109717
TULEAR DOYEN; 27014
VOHEMAR; 116076
GRAND BAIE;192302
POINTE AUX CANONNIERS;192290
